Player,Salary,Age,FG,RB,AST,STL,BLK,PTS
Dorell Wright,4106.0,27,3.0,3.8227848101265822,1.8987341772151898,0.7848101265822784,0.4430379746835443,9.227848101265822
Draymond Green,850.0,22,1.0632911392405062,3.2911392405063293,0.6708860759493671,0.5316455696202531,0.31645569620253167,2.8734177215189876
Drew Gooden,6687.4,31,1.25,1.9375,0.375,0.3125,0.375,3.25
Dwight Howard,18518.574,27,6.184210526315789,12.43421052631579,1.4210526315789473,1.105263157894737,2.4473684210526314,17.05263157894737
Dwyane Wade,17182.0,31,8.246376811594203,4.9855072463768115,5.101449275362318,1.855072463768116,0.8115942028985508,21.202898550724637
E'Twaun Moore,1143.293,23,3.16,2.2266666666666666,2.7466666666666666,0.68,0.30666666666666664,7.84
Earl Clark,1240.0,25,2.8813559322033897,5.508474576271187,1.1016949152542372,0.6101694915254238,0.7457627118644068,7.254237288135593
Earl Watson,2000.0,33,0.7708333333333334,1.8125,3.9583333333333335,0.8333333333333334,0.16666666666666666,2.0
Ekpe Udoh,3524.88,25,1.5394736842105263,3.3026315789473686,0.5657894736842105,0.5131578947368421,1.118421052631579,4.25
Elton Brand,2100.5,33,3.138888888888889,5.972222222222222,0.9722222222222222,0.6944444444444444,1.25,7.194444444444445
Enes Kanter,4319.28,20,2.942857142857143,4.3428571428571425,0.44285714285714284,0.4,0.45714285714285713,7.228571428571429
Eric Bledsoe,1707.72,23,3.3289473684210527,2.960526315789474,3.0657894736842106,1.4342105263157894,0.7236842105263158,8.460526315789474
Eric Gordon,13668.75,24,5.595238095238095,1.8333333333333333,3.261904761904762,1.0714285714285714,0.19047619047619047,16.976190476190474
Eric Maynor,2338.721,25,1.65625,0.71875,2.84375,0.34375,0.015625,4.546875
Ersan Ilyasova,7900.0,25,5.082191780821918,7.123287671232877,1.6027397260273972,0.9315068493150684,0.4931506849315068,13.178082191780822
Evan Fournier,1361.4,20,1.9736842105263157,0.9210526315789473,1.1578947368421053,0.5,0.02631578947368421,5.315789473684211
Evan Turner,5293.08,24,5.378048780487805,6.304878048780488,4.317073170731708,0.8658536585365854,0.2073170731707317,13.341463414634147
Francisco Garcia,6100.0,31,2.0344827586206895,1.5689655172413792,1.0862068965517242,0.7931034482758621,0.6551724137931034,5.5344827586206895
Garrett Temple,916.099,26,2.0588235294117645,2.411764705882353,2.2549019607843137,0.9803921568627451,0.3333333333333333,5.137254901960785
Gary Neal,854.389,28,3.6176470588235294,2.1029411764705883,1.8970588235294117,0.4411764705882353,0.029411764705882353,9.485294117647058
George Hill,8000.0,26,5.078947368421052,3.736842105263158,4.671052631578948,1.0657894736842106,0.34210526315789475,14.157894736842104
Gerald Green,3500.0,27,2.5833333333333335,2.35,0.8333333333333334,0.31666666666666665,0.38333333333333336,7.016666666666667
Gerald Henderson,3101.327,25,5.617647058823529,3.676470588235294,2.6029411764705883,1.0,0.5,15.514705882352942
Gerald Wallace,9682.435,30,2.63768115942029,4.6231884057971016,2.6231884057971016,1.4057971014492754,0.6666666666666666,7.695652173913044
Glen Davis,6400.0,27,6.294117647058823,7.235294117647059,2.0588235294117645,0.9411764705882353,0.6176470588235294,15.058823529411764
Goran Dragic,7500.0,26,5.207792207792208,3.090909090909091,7.3896103896103895,1.6103896103896105,0.33766233766233766,14.727272727272727
Gordon Hayward,2709.72,22,4.666666666666667,3.125,2.9583333333333335,0.8055555555555556,0.5277777777777778,14.125
Grant Hill,1957.0,40,1.3103448275862069,1.6896551724137931,0.896551724137931,0.3793103448275862,0.2413793103448276,3.206896551724138
Greg Monroe,3217.68,22,6.345679012345679,9.592592592592593,3.4691358024691357,1.2962962962962963,0.6790123456790124,16.02469135802469
Greg Smith,762.195,22,2.4285714285714284,4.585714285714285,0.35714285714285715,0.2571428571428571,0.5714285714285714,6.014285714285714
Greivis Vasquez,1191.24,26,5.615384615384615,4.32051282051282,9.025641025641026,0.8461538461538461,0.07692307692307693,13.884615384615385
Hakim Warrick,4250.0,30,2.392857142857143,3.1785714285714284,0.8928571428571429,0.4642857142857143,0.21428571428571427,6.928571428571429
Harrison Barnes,2798.04,20,3.4074074074074074,4.111111111111111,1.2098765432098766,0.6419753086419753,0.1728395061728395,9.234567901234568
Hedo Turkoglu,11400.0,33,1.2727272727272727,2.3636363636363638,2.090909090909091,0.6363636363636364,0.09090909090909091,2.909090909090909
Ian Mahinmi,4000.0,26,1.8625,3.8875,0.3375,0.4875,0.825,5.025
Iman Shumpert,1633.44,22,2.422222222222222,3.022222222222222,1.6666666666666667,0.9555555555555556,0.15555555555555556,6.777777777777778
Isaiah Thomas,762.195,23,4.632911392405063,2.037974683544304,4.0,0.8481012658227848,0.0379746835443038,13.924050632911392
Ishmael Smith,910.491,24,1.0769230769230769,1.1730769230769231,1.6730769230769231,0.40384615384615385,0.17307692307692307,2.3653846153846154
Ivan Johnson,962.195,28,2.681159420289855,3.8550724637681157,0.6666666666666666,0.8115942028985508,0.2028985507246377,6.550724637681159
J.J. Hickson,4000.0,24,5.225,10.35,1.1,0.6,0.6375,12.725
J.J. Redick,6190.0,28,4.897435897435898,2.1923076923076925,3.7948717948717947,0.48717948717948717,0.11538461538461539,14.102564102564102
J.R. Smith,2806.452,27,6.5875,5.3125,2.725,1.25,0.3,18.075
Jae Crowder,600.491,22,1.8076923076923077,2.3974358974358974,1.205128205128205,0.8076923076923077,0.21794871794871795,5.0256410256410255
Jamaal Tinsley,1352.181,34,1.303030303030303,1.7424242424242424,4.393939393939394,0.9696969696969697,0.21212121212121213,3.4696969696969697
Jamal Crawford,5000.0,32,5.855263157894737,1.6842105263157894,2.539473684210526,1.0394736842105263,0.17105263157894737,16.513157894736842
Jameer Nelson,8600.0,30,5.464285714285714,3.732142857142857,7.375,1.2678571428571428,0.10714285714285714,14.678571428571429
James Anderson,916.099,23,1.3333333333333333,1.8461538461538463,1.0769230769230769,0.38461538461538464,0.1282051282051282,3.8205128205128207
James Harden,5820.417,23,7.5,4.858974358974359,5.833333333333333,1.8205128205128205,0.48717948717948717,25.935897435897434
James Johnson,2812.006,25,2.1666666666666665,2.685185185185185,1.0740740740740742,0.7592592592592593,0.9259259259259259,5.111111111111111
James Jones,1500.0,32,0.5526315789473685,0.5789473684210527,0.34210526315789475,0.05263157894736842,0.15789473684210525,1.5789473684210527
James White,854.389,30,0.8771929824561403,0.8421052631578947,0.5087719298245614,0.22807017543859648,0.07017543859649122,2.192982456140351
Jan Vesely,3202.92,22,1.1176470588235294,2.392156862745098,0.5490196078431373,0.29411764705882354,0.3333333333333333,2.4705882352941178
Jannero Pargo,854.389,33,2.4375,1.09375,2.09375,0.5625,0.09375,6.46875
Jared Dudley,4250.0,27,3.962025316455696,3.1012658227848102,2.569620253164557,0.9493670886075949,0.10126582278481013,10.89873417721519
Jared Jeffries,1475.106,31,0.42105263157894735,1.5789473684210527,0.3684210526315789,0.15789473684210525,0.15789473684210525,1.1578947368421053
Jared Sullinger,1306.92,20,2.466666666666667,5.866666666666666,0.7777777777777778,0.4888888888888889,0.4888888888888889,6.0
Jarrett Jack,5400.0,29,4.89873417721519,3.0759493670886076,5.556962025316456,0.759493670886076,0.13924050632911392,12.949367088607595
Jason Kidd,3090.0,39,2.0,4.25,3.276315789473684,1.644736842105263,0.32894736842105265,6.026315789473684
